course,lect,dow,month,day,week,lecture_num,raw_notes,instructor
STAT540-Seminar,seminar-1,Wed,January,9,1,1,"Introduction to version control, Git, GitHub",TA
STAT540-Seminar,seminar-2a,Wed,January,16,2,2,"Introduction to Markdown, Knitr",TA
STAT540-Seminar,seminar-2b,Wed,January,16,2,3,"R graphics -- ggplot2, lattice",TA
STAT540-Seminar,seminar-2c,Wed,January,23,4,4,Getting your hands dirty with R -- simulate data and do some statistics,TA
STAT540-Seminar,seminar-3,Wed,January,30,5,4,Load and analyze some gene expression data -- data aggregation with dplyr,TA
STAT540-Seminar,seminar-4,Wed,February,6,5,5,"Two group testing, fitting and interpreting linear models",TA
STAT540-Seminar,seminar-5,Wed,February,13,6,6,RNA-seq: from beginning to end -- BAM to count data (optional),TA
STAT540-Seminar,seminar-6,Wed,February,27,7,7,"Dimensionality reduction and data visualization -- clustering, PCA, t-sne",TA
STAT540-Seminar,seminar-7,Wed,March,6,9,8,"Methylation analysis I -- e.g., investigating cell type heterogeneity",TA
STAT540-Seminar,seminar-8,Wed,March,13,10,9,"eQTL (or mQTL) analysis -- finding cis variants per gene, testing for association",TA
STAT540-Seminar,seminar-9,Wed,March,20,11,10,Pathway analysis for methylation and gene expression data,TA
STAT540-Seminar,seminar-10,Wed,March,27,12,NA,"Supervised learning, cross-validation, variable selection",TA
STAT540-Seminar,seminar-11,Wed,April,3,13,NA,Group Presentations,TA
STAT540,lecture-1,Mon,January,7,1,1,Course intro ,PP
STAT540,lecture-2,Wed,January,9,1,2,"Molecular Biology methods intro: RNA, DNA, methylation, ChiP-Seq",PP
STAT540,lecture-3,Mon,January,14,2,3,"Exploratory data analysis, QC ",PP
STAT540,lecture-4,Wed,January,16,2,4,Stats Philosophy & Math/stat background,SM
STAT540,lecture-5,Mon,January,21,3,5,Statistical Inference - two groups,GCF
STAT540,lecture-6,Wed,January,23,3,6,Statistical Inference - linear regression and ANOVA,GCF
STAT540,lecture-7,Mon,January,28,4,7,"Statistical inference - linear models (more than two groups, and interaction testing)",GCF
STAT540,lecture-8,Wed,January,30,4,8,Statistical inference - limma & multiple testing,GCF
STAT540,lecture-9,Mon,February,4,5,9,"Multiple testing and resampling,",GCF
STAT540,lecture-10,Wed,February,6,5,10,Application of statistical inference to RNA-seq I,PP
STAT540,lecture-11,Mon,February,11,6,11,Application of statistical inference to RNA-seq II,PP
STAT540,lecture-12,Wed,February,13,6,NA,Machine Learning Intro: Unsupervised learning PCA,SM
STAT540,Break,Mon,February,18,7,NA,Midterm Break,NA
STAT540,Break,Wed,February,20,7,NA,Midterm Break,NA
STAT540,lecture-13,Mon,February,25,8,12,Unsupervised learning Clustering,GCF
STAT540,lecture-14,Wed,February,27,8,13,Supervised learning I,GCF
STAT540,lecture-15,Mon,March,4,9,14,Supervised learning II ,GCF
STAT540,lecture-16,Wed,March,6,9,15,Guest lecture,
STAT540,lecture-17,Mon,March,11,10,16,Human Genetics and GWAS,SM
STAT540,lecture-18,Wed,March,13,10,17,GWAS + eQTL analysis,SM
STAT540,lecture-19,Mon,March,18,11,18,Association studies and cellular heterogeneity,SM
STAT540,lecture-20,Wed,March,20,11,19,Gene set analysis,PP
STAT540,lecture-21,Mon,March,25,12,20,Gene networks and function prediction,PP
STAT540,lecture-22,Wed,March,27,12,21,Guest lecture: Andrew Roth,
STAT540,lecture-23,Mon,April,1,13,22,Oral presentations,Oral
STAT540,lecture-24,Wed,April,3,13,23,Oral presentations,Oral
